Pharmacologic Class::N0000000069	Calcium Channel Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000070	Angiotensin 2 Receptor Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000083	Leukotriene Receptor Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000100	Estrogen Receptor Agonists	Pharmacologic Class
Pharmacologic Class::N0000000102	Norepinephrine Uptake Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000104	Cholinergic Muscarinic Agonists	Pharmacologic Class
Pharmacologic Class::N0000000106	Prostaglandin Receptor Agonists	Pharmacologic Class
Pharmacologic Class::N0000000109	Serotonin Uptake Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000111	Folic Acid Metabolism Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000114	Dopamine Uptake Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000115	Progestational Hormone Receptor Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000116	GABA B Agonists	Pharmacologic Class
Pharmacologic Class::N0000000122	Adrenergic Agonists	Pharmacologic Class
Pharmacologic Class::N0000000125	Cholinergic Muscarinic Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000144	Iron Chelating Activity	Pharmacologic Class
Pharmacologic Class::N0000000146	Androgen Receptor Agonists	Pharmacologic Class
Pharmacologic Class::N0000000150	Protein Synthesis Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000151	Histamine H2 Receptor Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000154	Opioid Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000160	Cyclooxygenase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000166	alpha Glucosidase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000168	Selective Estrogen Receptor Modulators	Pharmacologic Class
Pharmacologic Class::N0000000174	Opioid Agonists	Pharmacologic Class
Pharmacologic Class::N0000000176	Topoisomerase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000183	Acetyl Aldehyde Dehydrogenase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000190	Histamine H1 Receptor Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000191	Dihydrofolate Reductase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000194	Somatostatin Receptor Agonists	Pharmacologic Class
Pharmacologic Class::N0000000196	GABA A Agonists	Pharmacologic Class
Pharmacologic Class::N0000000202	beta Lactamase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000206	Xanthine Oxidase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000207	Histamine Receptor Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000209	Adrenergic alpha-Agonists	Pharmacologic Class
Pharmacologic Class::N0000000233	Nucleic Acid Synthesis Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000235	Carbonic Anhydrase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000236	Alkylating Activity	Pharmacologic Class
Pharmacologic Class::N0000000239	P-Glycoprotein Interactions	Pharmacologic Class
Pharmacologic Class::N0000000243	Androgen Receptor Antagonists	Pharmacologic Class
Pharmacologic Class::N0000000246	HIV Protease Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000000250	Melatonin Receptor Agonists	Pharmacologic Class
Pharmacologic Class::N0000005760	Aminosalicylic Acids	Pharmacologic Class
Pharmacologic Class::N0000005934	Progesterone	Pharmacologic Class
Pharmacologic Class::N0000006014	Pyrethrins	Pharmacologic Class
Pharmacologic Class::N0000006165	Triiodothyronine	Pharmacologic Class
Pharmacologic Class::N0000006269	Vitamin A	Pharmacologic Class
Pharmacologic Class::N0000006276	Vitamin B 12	Pharmacologic Class
Pharmacologic Class::N0000006277	Vitamin D	Pharmacologic Class
Pharmacologic Class::N0000006290	Vitamin K	Pharmacologic Class
Pharmacologic Class::N0000006320	Vasopressins	Pharmacologic Class
Pharmacologic Class::N0000006337	Ergocalciferols	Pharmacologic Class
Pharmacologic Class::N0000006496	Nicotine	Pharmacologic Class
Pharmacologic Class::N0000006688	Carnitine	Pharmacologic Class
Pharmacologic Class::N0000006801	Bile Acids and Salts	Pharmacologic Class
Pharmacologic Class::N0000006806	Amino Acids	Pharmacologic Class
Pharmacologic Class::N0000006996	Cholecalciferol	Pharmacologic Class
Pharmacologic Class::N0000006999	Urea	Pharmacologic Class
Pharmacologic Class::N0000007151	Folic Acid	Pharmacologic Class
Pharmacologic Class::N0000007196	Iodine	Pharmacologic Class
Pharmacologic Class::N0000007246	Estradiol	Pharmacologic Class
Pharmacologic Class::N0000007522	Allylamine	Pharmacologic Class
Pharmacologic Class::N0000007529	Macrolides	Pharmacologic Class
Pharmacologic Class::N0000007530	Anthracyclines	Pharmacologic Class
Pharmacologic Class::N0000007542	Benzodiazepines	Pharmacologic Class
Pharmacologic Class::N0000007544	Phenothiazines	Pharmacologic Class
Pharmacologic Class::N0000007556	Dihydropyridines	Pharmacologic Class
Pharmacologic Class::N0000007566	Benzylamines	Pharmacologic Class
Pharmacologic Class::N0000007568	Oxazolidinones	Pharmacologic Class
Pharmacologic Class::N0000007570	Pyridines	Pharmacologic Class
Pharmacologic Class::N0000007606	Quinolones	Pharmacologic Class
Pharmacologic Class::N0000007618	Ergolines	Pharmacologic Class
Pharmacologic Class::N0000007620	Ergot Alkaloids	Pharmacologic Class
Pharmacologic Class::N0000007621	Ergotamines	Pharmacologic Class
Pharmacologic Class::N0000007632	Thyroxine	Pharmacologic Class
Pharmacologic Class::N0000007641	Nicotinic Acids	Pharmacologic Class
Pharmacologic Class::N0000007647	Nitrates	Pharmacologic Class
Pharmacologic Class::N0000007658	Nitrofurans	Pharmacologic Class
Pharmacologic Class::N0000007659	Nitrogen Mustard Compounds	Pharmacologic Class
Pharmacologic Class::N0000007663	Nitroimidazoles	Pharmacologic Class
Pharmacologic Class::N0000007672	Polyenes	Pharmacologic Class
Pharmacologic Class::N0000007681	Amides	Pharmacologic Class
Pharmacologic Class::N0000007683	Organometallic Compounds	Pharmacologic Class
Pharmacologic Class::N0000007698	Biguanides	Pharmacologic Class
Pharmacologic Class::N0000007700	Retinoids	Pharmacologic Class
Pharmacologic Class::N0000007706	Prostaglandins	Pharmacologic Class
Pharmacologic Class::N0000007707	Diphosphonates	Pharmacologic Class
Pharmacologic Class::N0000007710	Prostaglandins E, Synthetic	Pharmacologic Class
Pharmacologic Class::N0000007715	Catecholamines	Pharmacologic Class
Pharmacologic Class::N0000007770	Deoxyuridine	Pharmacologic Class
Pharmacologic Class::N0000007780	Vinca Alkaloids	Pharmacologic Class
Pharmacologic Class::N0000007822	Polymyxins	Pharmacologic Class
Pharmacologic Class::N0000007853	Aminoglycosides	Pharmacologic Class
Pharmacologic Class::N0000007883	Amphetamines	Pharmacologic Class
Pharmacologic Class::N0000007888	Bismuth	Pharmacologic Class
Pharmacologic Class::N0000007889	Glycopeptides	Pharmacologic Class
Pharmacologic Class::N0000007893	Glycosaminoglycans	Pharmacologic Class
Pharmacologic Class::N0000007909	Psoralens	Pharmacologic Class
Pharmacologic Class::N0000007911	Rifamycins	Pharmacologic Class
Pharmacologic Class::N0000007948	Tetracyclines	Pharmacologic Class
Pharmacologic Class::N0000007961	Heparin, Low-Molecular-Weight	Pharmacologic Class
Pharmacologic Class::N0000007983	Hydroxy Acids	Pharmacologic Class
Pharmacologic Class::N0000008010	Cannabinoids	Pharmacologic Class
Pharmacologic Class::N0000008016	Barbiturates	Pharmacologic Class
Pharmacologic Class::N0000008048	Sulfonamides	Pharmacologic Class
Pharmacologic Class::N0000008053	Sulfones	Pharmacologic Class
Pharmacologic Class::N0000008054	Sulfonylurea Compounds	Pharmacologic Class
Pharmacologic Class::N0000008065	Purines	Pharmacologic Class
Pharmacologic Class::N0000008118	Xanthines	Pharmacologic Class
Pharmacologic Class::N0000008157	Cardiac Glycosides	Pharmacologic Class
Pharmacologic Class::N0000008217	Azoles	Pharmacologic Class
Pharmacologic Class::N0000008241	Androstanes	Pharmacologic Class
Pharmacologic Class::N0000008330	Cardiac Rhythm Alteration	Pharmacologic Class
Pharmacologic Class::N0000008478	Decreased Cell Wall Integrity	Pharmacologic Class
Pharmacologic Class::N0000008479	Decreased Cell Wall Synthesis & Repair	Pharmacologic Class
Pharmacologic Class::N0000008486	Decreased Central Nervous System Disorganized Electrical Activity	Pharmacologic Class
Pharmacologic Class::N0000008553	Decreased Cholesterol Absorption	Pharmacologic Class
Pharmacologic Class::N0000008556	Decreased Coagulation Factor Activity	Pharmacologic Class
Pharmacologic Class::N0000008577	Decreased DNA Replication	Pharmacologic Class
Pharmacologic Class::N0000008638	Decreased GnRH Secretion	Pharmacologic Class
Pharmacologic Class::N0000008663	Decreased Immunologically Active Molecule Activity	Pharmacologic Class
Pharmacologic Class::N0000008683	Decreased Leukotriene Production	Pharmacologic Class
Pharmacologic Class::N0000008732	Decreased Mitosis	Pharmacologic Class
Pharmacologic Class::N0000008779	Decreased Parasympathetic Acetylcholine Activity	Pharmacologic Class
Pharmacologic Class::N0000008832	Decreased Platelet Aggregation	Pharmacologic Class
Pharmacologic Class::N0000008836	Decreased Prostaglandin Production	Pharmacologic Class
Pharmacologic Class::N0000008841	Decreased Protein Synthesis	Pharmacologic Class
Pharmacologic Class::N0000008853	Decreased RNA Replication	Pharmacologic Class
Pharmacologic Class::N0000008859	Decreased Renal K+ Excretion	Pharmacologic Class
Pharmacologic Class::N0000008867	Decreased Respiratory Secretion Viscosity	Pharmacologic Class
Pharmacologic Class::N0000008953	Decreased Striated Muscle Contraction	Pharmacologic Class
Pharmacologic Class::N0000009010	Decreased Tracheobronchial Stretch Receptor Activity	Pharmacologic Class
Pharmacologic Class::N0000009022	Digestive/GI System Activity Alteration	Pharmacologic Class
Pharmacologic Class::N0000009034	Emesis Suppression	Pharmacologic Class
Pharmacologic Class::N0000009048	GI Motility Alteration	Pharmacologic Class
Pharmacologic Class::N0000009059	Genitourinary Arterial Vasodilation	Pharmacologic Class
Pharmacologic Class::N0000009065	Hematologic Activity Alteration	Pharmacologic Class
Pharmacologic Class::N0000009079	Increased Acetylcholine Activity	Pharmacologic Class
Pharmacologic Class::N0000009176	Increased Cellular Death	Pharmacologic Class
Pharmacologic Class::N0000009267	Increased Cytokine Activity	Pharmacologic Class
Pharmacologic Class::N0000009269	Increased Cytokine Production	Pharmacologic Class
Pharmacologic Class::N0000009282	Increased Dopamine Activity	Pharmacologic Class
Pharmacologic Class::N0000009371	Increased Large Intestinal Motility	Pharmacologic Class
Pharmacologic Class::N0000009393	Increased Medullary Respiratory Drive	Pharmacologic Class
Pharmacologic Class::N0000009456	Increased Norepinephrine Activity	Pharmacologic Class
Pharmacologic Class::N0000009526	Increased Prostaglandin Activity	Pharmacologic Class
Pharmacologic Class::N0000009724	Inhibition Gastric Acid Secretion	Pharmacologic Class
Pharmacologic Class::N0000009801	Photosensitizing Activity	Pharmacologic Class
Pharmacologic Class::N0000009871	Stimulation Large Intestine Fluid/Electrolyte Secretion	Pharmacologic Class
Pharmacologic Class::N0000009905	Vascular Sclerosing Activity	Pharmacologic Class
Pharmacologic Class::N0000009909	Vasodilation	Pharmacologic Class
Pharmacologic Class::N0000009911	Venous Vasodilation	Pharmacologic Class
Pharmacologic Class::N0000009916	Lipase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000009917	Adrenergic alpha1-Agonists	Pharmacologic Class
Pharmacologic Class::N0000009918	Adrenergic alpha2-Agonists	Pharmacologic Class
Pharmacologic Class::N0000009922	Adrenergic beta2-Agonists	Pharmacologic Class
Pharmacologic Class::N0000009923	Adrenergic beta1-Antagonists	Pharmacologic Class
Pharmacologic Class::N0000009924	Adrenergic beta2-Antagonists	Pharmacologic Class
Pharmacologic Class::N0000009945	Antidiuretic Hormone Antagonists	Pharmacologic Class
Pharmacologic Class::N0000009947	Nucleoside Reverse Transcriptase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000009948	Non-Nucleoside Reverse Transcriptase Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000009963	Thrombin Inhibitors	Pharmacologic Class
Pharmacologic Class::N0000009982	Decreased Sebaceous Gland Activity	Pharmacologic Class
Pharmacologic Class::N0000010217	Photoabsorption	Pharmacologic Class
Pharmacologic Class::N0000010258	X-Ray Contrast Activity	Pharmacologic Class
Pharmacologic Class::N0000010259	Ultrasound Contrast Activity	Pharmacologic Class
Pharmacologic Class::N0000010262	Neurokinin 1 Antagonists	Pharmacologic Class
