hgnc_id	symbol	name	family_id	parent_fam_id
HGNC:11148	FSCN1	fascin actin-bundling protein 1	3	NA
HGNC:3960	FSCN2	fascin actin-bundling protein 2, retinal	3	NA
HGNC:3961	FSCN3	fascin actin-bundling protein 3	3	NA
HGNC:3477	ETF1	eukaryotic translation termination factor 1	1963	NA
HGNC:4621	GSPT1	G1 to S phase transition 1	1963	NA
HGNC:4622	GSPT2	G1 to S phase transition 2	1963	NA
HGNC:9962	UPF1	UPF1 RNA helicase and ATPase	1963	NA
HGNC:16719	DHX34	DExH-box helicase 34	1963	NA
HGNC:18599	TUBGCP2	tubulin gamma complex component 2	2224	NA
HGNC:18598	TUBGCP3	tubulin gamma complex component 3	2224	NA
HGNC:16691	TUBGCP4	tubulin gamma complex component 4	2224	NA
HGNC:18600	TUBGCP5	tubulin gamma complex component 5	2224	NA
HGNC:18127	TUBGCP6	tubulin gamma complex component 6	2224	NA
HGNC:8662	PCDHA@	protocadherin alpha cluster, complex locus	20	19
HGNC:8663	PCDHA1	protocadherin alpha 1	20	19
HGNC:8664	PCDHA10	protocadherin alpha 10	20	19
HGNC:8665	PCDHA11	protocadherin alpha 11	20	19
HGNC:11021	SLC35A1	solute carrier family 35 member A1	2186	752
HGNC:11022	SLC35A2	solute carrier family 35 member A2	2186	752
HGNC:18222	RBFOX1	RNA binding fox-1 homolog 1	2286	NA
HGNC:19894	TRAPPC1	trafficking protein particle complex subunit 1	772	NA
HGNC:11868	TRAPPC10	trafficking protein particle complex subunit 10	772	NA
HGNC:25751	TRAPPC11	trafficking protein particle complex subunit 11	772	NA
HGNC:24284	TRAPPC12	trafficking protein particle complex subunit 12	772	NA
HGNC:13187	ZP1	zona pellucida glycoprotein 1	8	3478
HGNC:13188	ZP2	zona pellucida glycoprotein 2	8	3478
HGNC:13189	ZP3	zona pellucida glycoprotein 3	8	3478
HGNC:15770	ZP4	zona pellucida glycoprotein 4	8	3478
HGNC:14264	GAR1	GAR1 ribonucleoprotein	1221	NA
HGNC:14377	NHP2	NHP2 ribonucleoprotein	1221	NA
HGNC:14378	NOP10	NOP10 ribonucleoprotein	1221	NA
HGNC:35293	MIR1302-1	microRNA 1302-1	1858	476
HGNC:38233	MIR1302-10	microRNA 1302-10	1858	476
HGNC:38246	MIR1302-11	microRNA 1302-11	1858	476
HGNC:34892	NMTRL-TAA1-1	nuclear-encoded mitochondrial tRNA-Leu (TAA) 1-1	841	478
HGNC:35097	NMTRL-TAA2-1	nuclear-encoded mitochondrial tRNA-Leu (TAA) 2-1	841	478
HGNC:35095	NMTRL-TAA3-1	nuclear-encoded mitochondrial tRNA-Leu (TAA) 3-1	841	478
HGNC:34945	NMTRL-TAA4-1	nuclear-encoded mitochondrial tRNA-Leu (TAA) 4-1	841	478
HGNC:35038	NMTRL-TAA5-1	nuclear-encoded mitochondrial tRNA-Leu (TAA) 5-1	841	478
HGNC:35027	NMTRL-TAA6-1	nuclear-encoded mitochondrial tRNA-Leu (TAA) 6-1	841	478
HGNC:2890	DKC1	dyskerin pseudouridine synthase 1	1221	NA
HGNC:35294	MIR1302-2	microRNA 1302-2	1858	476
HGNC:35295	MIR1302-3	microRNA 1302-3	1858	476
HGNC:35296	MIR1302-4	microRNA 1302-4	1858	476
HGNC:35297	MIR1302-5	microRNA 1302-5	1858	476
HGNC:35298	MIR1302-6	microRNA 1302-6	1858	476
HGNC:35299	MIR1302-7	microRNA 1302-7	1858	476
HGNC:35300	MIR1302-8	microRNA 1302-8	1858	476
HGNC:38218	MIR1302-9	microRNA 1302-9	1858	476
HGNC:35277	MIR1285-1	microRNA 1285-1	1863	476
HGNC:35278	MIR1285-2	microRNA 1285-2	1863	476
HGNC:38241	MIR3156-1	microRNA 3156-1	1867	476
HGNC:38213	MIR3156-2	microRNA 3156-2	1867	476
HGNC:38229	MIR3156-3	microRNA 3156-3	1867	476
HGNC:38997	MIR3670-1	microRNA 3670-1	1872	476
HGNC:43460	MIR3670-2	microRNA 3670-2	1872	476
HGNC:50829	MIR3670-3	microRNA 3670-3	1872	476
HGNC:50828	MIR3670-4	microRNA 3670-4	1872	476
HGNC:25828	TRAPPC13	trafficking protein particle complex subunit 13	772	NA
HGNC:25604	TRAPPC14	trafficking protein particle complex subunit 14	772	NA
HGNC:23068	TRAPPC2	trafficking protein particle complex subunit 2	772	NA
HGNC:30887	TRAPPC2L	trafficking protein particle complex subunit 2L	772	NA
HGNC:19942	TRAPPC3	trafficking protein particle complex subunit 3	772	NA
HGNC:19943	TRAPPC4	trafficking protein particle complex subunit 4	772	NA
HGNC:23067	TRAPPC5	trafficking protein particle complex subunit 5	772	NA
HGNC:23069	TRAPPC6A	trafficking protein particle complex subunit 6A	772	NA
HGNC:23066	TRAPPC6B	trafficking protein particle complex subunit 6B	772	NA
HGNC:29169	TRAPPC8	trafficking protein particle complex subunit 8	772	NA
HGNC:30832	TRAPPC9	trafficking protein particle complex subunit 9	772	NA
HGNC:21090	TRAPPC3L	trafficking protein particle complex subunit 3L	772	NA
HGNC:11023	SLC35A3	solute carrier family 35 member A3	2186	752
HGNC:20753	SLC35A4	solute carrier family 35 member A4	2186	752
HGNC:8666	PCDHA12	protocadherin alpha 12	20	19
HGNC:30626	YTHDC1	YTH N6-methyladenosine RNA binding protein C1	2230	NA
HGNC:32796	MIR548A1	microRNA 548a-1	1806	476
HGNC:32797	MIR548A2	microRNA 548a-2	1806	476
HGNC:32798	MIR548A3	microRNA 548a-3	1806	476
HGNC:38944	MIR548AA1	microRNA 548aa-1	1806	476
HGNC:38921	MIR548AA2	microRNA 548aa-2	1806	476
HGNC:41825	MIR548AB	microRNA 548ab	1806	476
HGNC:41626	MIR548AC	microRNA 548ac	1806	476
HGNC:41683	MIR548AD	microRNA 548ad	1806	476
HGNC:41742	MIR548AE1	microRNA 548ae-1	1806	476
HGNC:41831	MIR548AE2	microRNA 548ae-2	1806	476
HGNC:41625	MIR548AG1	microRNA 548ag-1	1806	476
HGNC:41745	MIR548AG2	microRNA 548ag-2	1806	476
HGNC:24721	YTHDC2	YTH N6-methyladenosine RNA binding protein C2	2230	NA
HGNC:15867	YTHDF1	YTH N6-methyladenosine RNA binding protein F1	2230	NA
HGNC:31675	YTHDF2	YTH N6-methyladenosine RNA binding protein F2	2230	NA
HGNC:26465	YTHDF3	YTH N6-methyladenosine RNA binding protein F3	2230	NA
HGNC:6556	LETM1	leucine zipper and EF-hand containing transmembrane protein 1	2205	752
HGNC:14648	LETM2	leucine zipper and EF-hand containing transmembrane protein 2	2205	752
HGNC:24241	LETMD1	LETM1 domain containing 1	2205	752
HGNC:42872	CARMN	cardiac mesoderm enhancer-associated non-coding RNA	1688	1690
HGNC:42872	CARMN	cardiac mesoderm enhancer-associated non-coding RNA	1688	788
HGNC:28964	DANCR	differentiation antagonizing non-protein coding RNA	1688	1690
HGNC:28964	DANCR	differentiation antagonizing non-protein coding RNA	1688	788
HGNC:4713	H19	H19 imprinted maternally expressed transcript	1688	1690
HGNC:4713	H19	H19 imprinted maternally expressed transcript	1688	788
HGNC:26885	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript	1688	1690
HGNC:26885	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript	1688	788
HGNC:14575	MEG3	maternally expressed 3	1688	1690
HGNC:14575	MEG3	maternally expressed 3	1688	788
HGNC:14574	MEG8	maternally expressed 8, small nucleolar RNA host gene	1688	1690
HGNC:14574	MEG8	maternally expressed 8, small nucleolar RNA host gene	1688	788
HGNC:39522	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	1688	1690
HGNC:39522	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	1688	788
HGNC:56862	MIR106AHG	miR-106a-363 cluster host gene	1688	1690
HGNC:56862	MIR106AHG	miR-106a-363 cluster host gene	1688	788
HGNC:16159	MIR1-1HG	MIR1-1 host gene	1688	1690
HGNC:16159	MIR1-1HG	MIR1-1 host gene	1688	788
HGNC:53821	MIR122HG	MIR122 host gene	1688	1690
HGNC:53821	MIR122HG	MIR122 host gene	1688	788
HGNC:27231	MIR124-1HG	MIR124-1 host gene	1688	1690
HGNC:27231	MIR124-1HG	MIR124-1 host gene	1688	788
HGNC:48723	MIR124-2HG	MIR124-2 host gene	1688	1690
HGNC:48723	MIR124-2HG	MIR124-2 host gene	1688	788
HGNC:52482	MIR1302-2HG	MIR1302-2 host gene	1688	1690
HGNC:52482	MIR1302-2HG	MIR1302-2 host gene	1688	788
HGNC:55045	MIR1302-9HG	MIR1302-9 host gene	1688	1690
HGNC:55045	MIR1302-9HG	MIR1302-9 host gene	1688	788
HGNC:55966	MIR130AHG	MIR130A host gene	1688	1690
HGNC:55966	MIR130AHG	MIR130A host gene	1688	788
HGNC:49594	MIR133A1HG	MIR133A1 host gene	1688	1690
HGNC:49594	MIR133A1HG	MIR133A1 host gene	1688	788
HGNC:42871	MIR137HG	MIR137 host gene	1688	1690
HGNC:42871	MIR137HG	MIR137 host gene	1688	788
HGNC:55980	MIR142HG	MIR142 host genes	1688	1690
HGNC:55980	MIR142HG	MIR142 host genes	1688	788
HGNC:35460	MIR155HG	MIR155 host gene	1688	1690
HGNC:35460	MIR155HG	MIR155 host gene	1688	788
HGNC:23564	MIR17HG	miR-17-92a-1 cluster host gene	1688	1690
HGNC:23564	MIR17HG	miR-17-92a-1 cluster host gene	1688	788
HGNC:48659	MIR181A1HG	MIR181A1 host gene	1688	1690
HGNC:48659	MIR181A1HG	MIR181A1 host gene	1688	788
HGNC:37188	MIR181A2HG	MIR181A2 host gene	1688	1690
HGNC:37188	MIR181A2HG	MIR181A2 host gene	1688	788
HGNC:31448	MIR1915HG	MIR1915 host gene	1688	1690
HGNC:31448	MIR1915HG	MIR1915 host gene	1688	788
HGNC:51945	MIR193BHG	MIR193b-365a host gene	1688	1690
HGNC:51945	MIR193BHG	MIR193b-365a host gene	1688	788
HGNC:51946	MIR194-2HG	MIR194-2 host gene	1688	1690
HGNC:51946	MIR194-2HG	MIR194-2 host gene	1688	788
HGNC:53161	MIR200CHG	MIR200C and MIR141 host gene	1688	1690
HGNC:53161	MIR200CHG	MIR200C and MIR141 host gene	1688	788
HGNC:49402	MIR202HG	MIR202 host gene	1688	1690
HGNC:49402	MIR202HG	MIR202 host gene	1688	788
HGNC:51555	MIR2052HG	MIR2052 host gene	1688	1690
HGNC:51555	MIR2052HG	MIR2052 host gene	1688	788
HGNC:43562	MIR205HG	MIR205 host gene	1688	1690
HGNC:43562	MIR205HG	MIR205 host gene	1688	788
HGNC:39524	MIR210HG	MIR210 host gene	1688	1690
HGNC:39524	MIR210HG	MIR210 host gene	1688	788
HGNC:51999	MIR2117HG	MIR2117 host gene	1688	1690
HGNC:51999	MIR2117HG	MIR2117 host gene	1688	788
HGNC:50537	MIR217HG	MIR217 host gene	1688	1690
HGNC:50537	MIR217HG	MIR217 host gene	1688	788
HGNC:55938	MIR219A2HG	MIR219A2 host gene	1688	1690
HGNC:55938	MIR219A2HG	MIR219A2 host gene	1688	788
HGNC:49555	MIR222HG	miR222/221 cluster host gene	1688	1690
HGNC:49555	MIR222HG	miR222/221 cluster host gene	1688	788
HGNC:54520	MIR223HG	MIR223 host gene	1688	1690
HGNC:54520	MIR223HG	MIR223 host gene	1688	788
HGNC:28219	MIR22HG	MIR22 host gene	1688	1690
HGNC:28219	MIR22HG	MIR22 host gene	1688	788
HGNC:27620	MIR23AHG	miR-23a/27a/24-2 cluster host gene	1688	1690
HGNC:27620	MIR23AHG	miR-23a/27a/24-2 cluster host gene	1688	788
HGNC:32018	MIR29B2CHG	MIR29B2 and MIR29C host gene	1688	1690
HGNC:32018	MIR29B2CHG	MIR29B2 and MIR29C host gene	1688	788
HGNC:41070	MIR302CHG	miR-302/367 cluster host gene	1688	1690
HGNC:41070	MIR302CHG	miR-302/367 cluster host gene	1688	788
HGNC:56081	MIR30DHG	MIR30D and MIR30B host gene	1688	1690
HGNC:56081	MIR30DHG	MIR30D and MIR30B host gene	1688	788
HGNC:51944	MIR3142HG	MIR3142 host gene	1688	1690
HGNC:51944	MIR3142HG	MIR3142 host gene	1688	788
HGNC:56144	MIR3147HG	MIR3147 host gene	1688	1690
HGNC:56144	MIR3147HG	MIR3147 host gene	1688	788
HGNC:52000	MIR3150BHG	MIR3150B host gene	1688	1690
HGNC:52000	MIR3150BHG	MIR3150B host gene	1688	788
HGNC:56193	MIR3171HG	MIR3171 host gene	1688	1690
HGNC:56193	MIR3171HG	MIR3171 host gene	1688	788
HGNC:37187	MIR31HG	MIR31 host gene	1688	1690
HGNC:37187	MIR31HG	MIR31 host gene	1688	788
HGNC:50346	MIR325HG	MIR325 host gene	1688	1690
HGNC:50346	MIR325HG	MIR325 host gene	1688	788
HGNC:51913	MIR34AHG	MIR34A host gene	1688	1690
HGNC:51913	MIR34AHG	MIR34A host gene	1688	788
HGNC:55987	MIR34BHG	MIR34B and MIR34C host gene	1688	1690
HGNC:55987	MIR34BHG	MIR34B and MIR34C host gene	1688	788
HGNC:54306	MIR3659HG	MIR3659 host gene	1688	1690
HGNC:54306	MIR3659HG	MIR3659 host gene	1688	788
HGNC:8655	PCDH1	protocadherin 1	21	19
HGNC:13404	PCDH10	protocadherin 10	21	19
HGNC:8656	PCDH11X	protocadherin 11 X-linked	21	19
HGNC:15813	PCDH11Y	protocadherin 11 Y-linked	21	19
HGNC:8657	PCDH12	protocadherin 12	21	19
HGNC:14267	PCDH17	protocadherin 17	21	19
HGNC:14268	PCDH18	protocadherin 18	21	19
HGNC:14270	PCDH19	protocadherin 19	21	19
HGNC:14257	PCDH20	protocadherin 20	21	19
HGNC:8659	PCDH7	protocadherin 7	21	19
HGNC:8660	PCDH8	protocadherin 8	21	19
HGNC:8661	PCDH9	protocadherin 9	21	19
HGNC:7076	MIA	MIA SH3 domain containing	1300	NA
HGNC:18432	MIA2	MIA SH3 domain ER export factor 2	1300	NA
HGNC:24008	MIA3	MIA SH3 domain ER export factor 3	1300	NA
HGNC:8517	OTOR	otoraplin	1300	NA
HGNC:28426	AKT1S1	AKT1 substrate 1	1332	NA
HGNC:24825	MLST8	MTOR associated protein MLST8	1332	NA
HGNC:3942	MTOR	mechanistic target of rapamycin kinase	1332	NA
HGNC:30287	RPTOR	regulatory associated protein of MTOR complex 1	1332	NA
HGNC:9001	PITPNA	phosphatidylinositol transfer protein alpha	1151	NA
HGNC:9002	PITPNB	phosphatidylinositol transfer protein beta	1151	NA
HGNC:21045	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1	1151	NA
HGNC:13233	ANP32A	acidic nuclear phosphoprotein 32 family member A	27	NA
HGNC:16677	ANP32B	acidic nuclear phosphoprotein 32 family member B	27	NA
HGNC:16675	ANP32CP	acidic nuclear phosphoprotein 32 family member C, pseudogene	27	NA
HGNC:16676	ANP32D	acidic nuclear phosphoprotein 32 family member D	27	NA
HGNC:16673	ANP32E	acidic nuclear phosphoprotein 32 family member E	27	NA
HGNC:9003	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	1151	NA
HGNC:21044	PITPNM2	phosphatidylinositol transfer protein membrane associated 2	1151	NA
HGNC:21043	PITPNM3	PITPNM family member 3	1151	NA
HGNC:20589	KCMF1	potassium channel modulatory factor 1	91	26
HGNC:21086	MIB1	MIB E3 ubiquitin protein ligase 1	91	26
HGNC:30577	MIB2	MIB E3 ubiquitin protein ligase 2	91	26
HGNC:30990	ZSWIM2	zinc finger SWIM-type containing 2	91	26
HGNC:29027	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1	91	26
HGNC:24523	ZZZ3	zinc finger ZZ-type containing 3	91	26
HGNC:3058	DTNB	dystrobrevin beta	91	26
HGNC:3057	DTNA	dystrobrevin alpha	91	26
HGNC:23279	DYTN	dystrotelin	91	26
HGNC:11280	SQSTM1	sequestosome 1	91	26
HGNC:12635	UTRN	utrophin	91	26
HGNC:2928	DMD	dystrophin	91	26
HGNC:3373	EP300	EP300 lysine acetyltransferase	91	26
HGNC:6887	MAPKAPK2	MAPK activated protein kinase 2	1156	652
HGNC:6888	MAPKAPK3	MAPK activated protein kinase 3	1156	652
HGNC:6889	MAPKAPK5	MAPK activated protein kinase 5	1156	652
HGNC:7110	MKNK1	MAPK interacting serine/threonine kinase 1	1156	652
HGNC:7111	MKNK2	MAPK interacting serine/threonine kinase 2	1156	652
HGNC:10430	RPS6KA1	ribosomal protein S6 kinase A1	1156	652
HGNC:10431	RPS6KA2	ribosomal protein S6 kinase A2	1156	652
HGNC:10432	RPS6KA3	ribosomal protein S6 kinase A3	1156	652
HGNC:10433	RPS6KA4	ribosomal protein S6 kinase A4	1156	652
HGNC:10434	RPS6KA5	ribosomal protein S6 kinase A5	1156	652
HGNC:10435	RPS6KA6	ribosomal protein S6 kinase A6	1156	652
HGNC:20792	SLC35A5	solute carrier family 35 member A5	2186	752
HGNC:20798	SLC35B1	solute carrier family 35 member B1	2186	752
HGNC:16872	SLC35B2	solute carrier family 35 member B2	2186	752
HGNC:21601	SLC35B3	solute carrier family 35 member B3	2186	752
HGNC:20584	SLC35B4	solute carrier family 35 member B4	2186	752
HGNC:20197	SLC35C1	solute carrier family 35 member C1	2186	752
HGNC:20800	SLC35D1	solute carrier family 35 member D1	2186	752
HGNC:20799	SLC35D2	solute carrier family 35 member D2	2186	752
HGNC:15621	SLC35D3	solute carrier family 35 member D3	2186	752
HGNC:20803	SLC35E1	solute carrier family 35 member E1	2186	752
HGNC:20863	SLC35E2A	solute carrier family 35 member E2A (pseudogene)	2186	752
HGNC:33941	SLC35E2B	solute carrier family 35 member E2B	2186	752
HGNC:20864	SLC35E3	solute carrier family 35 member E3	2186	752
HGNC:17058	SLC35E4	solute carrier family 35 member E4	2186	752
HGNC:21483	SLC35F1	solute carrier family 35 member F1	2186	752
HGNC:23615	SLC35F2	solute carrier family 35 member F2	2186	752
HGNC:23616	SLC35F3	solute carrier family 35 member F3	2186	752
HGNC:19845	SLC35F4	solute carrier family 35 member F4	2186	752
HGNC:23617	SLC35F5	solute carrier family 35 member F5	2186	752
HGNC:26055	SLC35F6	solute carrier family 35 member F6	2186	752
HGNC:26607	SLC35G1	solute carrier family 35 member G1	2186	752
HGNC:9906	RBFOX2	RNA binding fox-1 homolog 2	2286	NA
HGNC:27097	RBFOX3	RNA binding fox-1 homolog 3	2286	NA
HGNC:13447	SLC38A1	solute carrier family 38 member 1	2188	752
HGNC:28237	SLC38A10	solute carrier family 38 member 10	2188	752
HGNC:26836	SLC38A11	solute carrier family 38 member 11	2188	752
HGNC:13448	SLC38A2	solute carrier family 38 member 2	2188	752
HGNC:18044	SLC38A3	solute carrier family 38 member 3	2188	752
HGNC:14679	SLC38A4	solute carrier family 38 member 4	2188	752
HGNC:18070	SLC38A5	solute carrier family 38 member 5	2188	752
HGNC:19863	SLC38A6	solute carrier family 38 member 6	2188	752
HGNC:25582	SLC38A7	solute carrier family 38 member 7	2188	752
HGNC:32434	SLC38A8	solute carrier family 38 member 8	2188	752
HGNC:26907	SLC38A9	solute carrier family 38 member 9	2188	752
HGNC:25984	SLC38A12	solute carrier family 38 member 12	2188	752
HGNC:9080	PLN	phospholamban	2300	NA
HGNC:11089	SLN	sarcolipin	2300	NA
HGNC:52297	STRIT1	small transmembrane regulator of ion transport 1	2300	NA
HGNC:48649	MRLN	myoregulin	2300	NA
HGNC:10474	RUVBL1	RuvB like AAA ATPase 1	2007	NA
HGNC:10475	RUVBL2	RuvB like AAA ATPase 2	2007	NA
HGNC:11212	SPAG1	sperm associated antigen 1	2007	NA
HGNC:25210	PIH1D2	PIH1 domain containing 2	2007	NA
HGNC:55941	MIR365BHG	MIR365B and MIR4725 host gene	1688	1690
HGNC:55941	MIR365BHG	MIR365B and MIR4725 host gene	1688	788
HGNC:50676	MIR3663HG	MIR3663 host gene	1688	1690
HGNC:50676	MIR3663HG	MIR3663 host gene	1688	788
HGNC:28010	MIR3667HG	MIR3667 host gene	1688	1690
HGNC:28010	MIR3667HG	MIR3667 host gene	1688	788
HGNC:55382	MIR3677HG	MIR3677 and MIR940 host gene	1688	1690
HGNC:55382	MIR3677HG	MIR3677 and MIR940 host gene	1688	788
HGNC:277	ADRA1A	adrenoceptor alpha 1A	169	168
HGNC:278	ADRA1B	adrenoceptor alpha 1B	169	168
HGNC:280	ADRA1D	adrenoceptor alpha 1D	169	168
HGNC:281	ADRA2A	adrenoceptor alpha 2A	169	168
HGNC:282	ADRA2B	adrenoceptor alpha 2B	169	168
HGNC:283	ADRA2C	adrenoceptor alpha 2C	169	168
HGNC:285	ADRB1	adrenoceptor beta 1	169	168
HGNC:286	ADRB2	adrenoceptor beta 2	169	168
HGNC:288	ADRB3	adrenoceptor beta 3	169	168
HGNC:17734	TAAR1	trace amine associated receptor 1	188	168
HGNC:4514	TAAR2	trace amine associated receptor 2	188	168
HGNC:4513	TAAR3P	trace amine associated receptor 3, pseudogene	188	168
HGNC:31924	TAAR4P	trace amine associated receptor 4, pseudogene	188	168
HGNC:30236	TAAR5	trace amine associated receptor 5	188	168
HGNC:20978	TAAR6	trace amine associated receptor 6	188	168
HGNC:31925	TAAR7P	trace amine associated receptor 7, pseudogene	188	168
HGNC:14964	TAAR8	trace amine associated receptor 8	188	168
HGNC:20977	TAAR9	trace amine associated receptor 9	188	168
HGNC:30781	TADA2B	transcriptional adaptor 2B	91	26
HGNC:3032	DRP2	dystrophin related protein 2	91	26
HGNC:6746	NBR1	NBR1 autophagy cargo receptor	91	26
