0	1	2	hgnc_id	symbol	name	family_id	parent_fam_id
Gene::1	A1BG	Gene	HGNC:5	A1BG	alpha-1-B glycoprotein	594	589
Gene::10	NAT2	Gene	HGNC:7646	NAT2	N-acetyltransferase 2	1133	1132
Gene::100	ADA	Gene	HGNC:186	ADA	adenosine deaminase	1302	NA
Gene::1000	CDH2	Gene	HGNC:1759	CDH2	cadherin 2	1185	18
Gene::1000	CDH2	Gene	HGNC:1759	CDH2	cadherin 2	471	NA
Gene::10000	AKT3	Gene	HGNC:393	AKT3	AKT serine/threonine kinase 3	1900	1625
Gene::10000	AKT3	Gene	HGNC:393	AKT3	AKT serine/threonine kinase 3	682	NA
Gene::100008586	GAGE12F	Gene	HGNC:31906	GAGE12F	G antigen 12F	1845	NA
Gene::10001	MED6	Gene	HGNC:19970	MED6	mediator complex subunit 6	1061	NA
Gene::10002	NR2E3	Gene	HGNC:7974	NR2E3	nuclear receptor subfamily 2 group E member 3	2074	71
Gene::10003	NAALAD2	Gene	HGNC:14526	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	1444	NA
Gene::100033411	DUXB	Gene	HGNC:33345	DUXB	double homeobox B	521	516
Gene::100037417	DDTL	Gene	HGNC:33446	DDTL	D-dopachrome tautomerase like	3598	NA
Gene::10004	NAALADL1	Gene	HGNC:23536	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	1444	NA
Gene::100049579	OCTN3	Gene	NA	NA	NA	NA	NA
Gene::100049587	SIGLEC14	Gene	HGNC:32926	SIGLEC14	sialic acid binding Ig like lectin 14	745	594
Gene::100049587	SIGLEC14	Gene	HGNC:32926	SIGLEC14	sialic acid binding Ig like lectin 14	745	1410
Gene::100049587	SIGLEC14	Gene	HGNC:32926	SIGLEC14	sialic acid binding Ig like lectin 14	590	589
Gene::10005	ACOT8	Gene	HGNC:15919	ACOT8	acyl-CoA thioesterase 8	41	1832
Gene::10006	ABI1	Gene	HGNC:11320	ABI1	abl interactor 1	3723	NA
Gene::10007	GNPDA1	Gene	NA	NA	NA	NA	NA
Gene::10008	KCNE3	Gene	HGNC:6243	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3	858	NA
Gene::10009	ZBTB33	Gene	HGNC:16682	ZBTB33	zinc finger and BTB domain containing 33	861	NA
Gene::10009	ZBTB33	Gene	HGNC:16682	ZBTB33	zinc finger and BTB domain containing 33	28	26
Gene::1001	CDH3	Gene	HGNC:1762	CDH3	cadherin 3	1185	18
Gene::10010	TANK	Gene	HGNC:11562	TANK	TRAF family member associated NFKB activator	3343	3728
Gene::100101267	POM121C	Gene	NA	NA	NA	NA	NA
Gene::100101467	ZSCAN30	Gene	HGNC:33517	ZSCAN30	zinc finger and SCAN domain containing 30	28	26
Gene::100101467	ZSCAN30	Gene	HGNC:33517	ZSCAN30	zinc finger and SCAN domain containing 30	42	1411
Gene::100101629	GAGE8	Gene	HGNC:4106	GAGE8	G antigen 8	1845	NA
Gene::10011	SRA1	Gene	NA	NA	NA	NA	NA
Gene::100113407	TMEM170B	Gene	NA	NA	NA	NA	NA
Gene::100125288	ZGLP1	Gene	HGNC:37245	ZGLP1	zinc finger GATA like protein 1	82	26
Gene::100127206	KIAA1024L	Gene	NA	NA	NA	NA	NA
Gene::100127889	C10orf131	Gene	NA	NA	NA	NA	NA
Gene::100127971	LOC100127971	Gene	NA	NA	NA	NA	NA
Gene::100127983	C8orf88	Gene	NA	NA	NA	NA	NA
Gene::100127991	LOC100127991	Gene	NA	NA	NA	NA	NA
Gene::100128001	LOC100128001	Gene	NA	NA	NA	NA	NA
Gene::100128071	FAM229A	Gene	NA	NA	NA	NA	NA
Gene::100128088	LOC100128088	Gene	NA	NA	NA	NA	NA
Gene::100128107	LOC100128107	Gene	NA	NA	NA	NA	NA
Gene::100128108	LOC100128108	Gene	NA	NA	NA	NA	NA
Gene::100128124	HGC6.3	Gene	NA	NA	NA	NA	NA
Gene::100128160	LOC100128160	Gene	NA	NA	NA	NA	NA
Gene::100128170	LOC100128170	Gene	NA	NA	NA	NA	NA
Gene::100128184	LOC100128184	Gene	NA	NA	NA	NA	NA
Gene::100128198	LOC100128198	Gene	NA	NA	NA	NA	NA
Gene::100128265	LOC100128265	Gene	NA	NA	NA	NA	NA
Gene::100128274	LOC100128274	Gene	NA	NA	NA	NA	NA
Gene::100128320	LOC100128320	Gene	NA	NA	NA	NA	NA
Gene::100128327	TRAPPC3L	Gene	HGNC:21090	TRAPPC3L	trafficking protein particle complex subunit 3L	772	NA
Gene::100128348	LOC100128348	Gene	NA	NA	NA	NA	NA
Gene::100128402	LOC100128402	Gene	NA	NA	NA	NA	NA
Gene::100128429	LOC100128429	Gene	NA	NA	NA	NA	NA
Gene::100128430	LOC100128430	Gene	NA	NA	NA	NA	NA
Gene::100128437	LOC100128437	Gene	NA	NA	NA	NA	NA
Gene::100128496	C20orf78	Gene	NA	NA	NA	NA	NA
Gene::100128498	LOC100128498	Gene	NA	NA	NA	NA	NA
Gene::100128517	LOC100128517	Gene	NA	NA	NA	NA	NA
Gene::100128529	LOC100128529	Gene	NA	NA	NA	NA	NA
