run_id,phase,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,neg_ratio,neg_strategy,train_auroc,train_ap,train_f1,train_loss,val_auroc,val_ap,val_f1,val_loss,test_auroc,test_ap,test_f1,test_loss,time_seconds,status,notes
1,2A_architecture,32,1,,,1e-05,4096,,,,,,,,,,1.2297,0.6741,0.4136,0.1667,1.2901,10.58,completed,
2,2A_architecture,32,2,,,1e-05,4096,,,,,,,,,,0.7893,0.8469,0.6275,0.6149,0.7821,28.62,completed,
3,2A_architecture,32,3,,,1e-05,4096,,,,,,,,,,0.7819,0.8532,0.6415,0.626,0.7746,39.25,completed,
4,2A_architecture,64,1,,,1e-05,4096,,,,,,,,,,0.7947,0.8458,0.6201,0.6114,0.7895,25.63,completed,
5,2A_architecture,64,2,,,1e-05,4096,,,,,,,,,,0.7782,0.861,0.6582,0.634,0.7692,30.37,completed,
6,2A_architecture,64,3,,,1e-05,4096,,,,,,,,,,0.7925,0.8641,0.6689,0.6377,0.7792,35.53,completed,
7,2A_architecture,128,1,,,1e-05,4096,,,,,,,,,,0.8042,0.8602,0.6584,0.6322,0.7928,27.49,completed,
8,2A_architecture,128,2,,,1e-05,4096,,,,,,,,,,0.7847,0.8651,0.6705,0.6378,0.7702,37.29,completed,
9,2A_architecture,128,3,,,1e-05,4096,,,,,,,,,,0.85,0.8701,0.6879,0.6585,0.8177,45.49,completed,
10,2A_architecture,256,1,,,1e-05,4096,,,,,,,,,,0.8503,0.8681,0.6789,0.6461,0.8262,41.7,completed,
11,2A_architecture,256,2,,,1e-05,4096,,,,,,,,,,0.8397,0.866,0.6779,0.6427,0.8154,66.89,completed,
12,2B_lr,128,3,,0.0001,1e-05,4096,,,,,,,,,,1.2155,0.6747,0.4021,0.1667,1.2695,16.28,completed,
13,2B_lr,128,3,,0.0005,1e-05,4096,,,,,,,,,,0.797,0.8651,0.6711,0.6361,0.7773,47.08,completed,
14,2B_lr,128,3,,0.001,1e-05,4096,,,,,,,,,,0.9026,0.8765,0.7087,0.6709,0.8662,47.18,completed,
15,2B_lr,128,3,,0.005,1e-05,4096,,,,,,,,,,1.0031,0.8817,0.7306,0.6912,0.9696,46.83,completed,
16,2C_dropout,128,3,0.0,0.005,1e-05,4096,,,,,,,,,,1.2212,0.871,0.6966,0.6673,1.1369,46.44,completed,
17,2C_dropout,128,3,0.1,0.005,1e-05,4096,,,,,,,,,,1.0268,0.8848,0.7439,0.689,1.0076,46.09,completed,
18,2C_dropout,128,3,0.2,0.005,1e-05,4096,,,,,,,,,,1.0225,0.8802,0.7227,0.6869,0.9638,46.98,completed,
19,2C_dropout,128,3,0.3,0.005,1e-05,4096,,,,,,,,,,1.025,0.8773,0.7162,0.678,0.9541,47.02,completed,
20,2C_dropout,128,3,0.5,0.005,1e-05,4096,,,,,,,,,,0.9881,0.8695,0.6993,0.6694,0.9904,47.62,completed,
