0	family_id	parent_fam_id
Gene::1	594	589
Gene::10	1133	1132
Gene::100	1302	NA
Gene::1000	1185	18
Gene::1000	471	NA
Gene::10000	1900	1625
Gene::10000	682	NA
Gene::100008586	1845	NA
Gene::10001	1061	NA
Gene::10002	2074	71
Gene::10003	1444	NA
Gene::100033411	521	516
Gene::100037417	3598	NA
Gene::10004	1444	NA
Gene::100049579	NA	NA
Gene::100049587	745	594
Gene::100049587	745	1410
Gene::100049587	590	589
Gene::10005	41	1832
Gene::10006	3723	NA
Gene::10007	NA	NA
Gene::10008	858	NA
Gene::10009	861	NA
Gene::10009	28	26
Gene::1001	1185	18
Gene::10010	3343	3728
Gene::100101267	NA	NA
Gene::100101467	28	26
Gene::100101467	42	1411
Gene::100101629	1845	NA
Gene::10011	NA	NA
Gene::100113407	NA	NA
Gene::100125288	82	26
Gene::100127206	NA	NA
Gene::100127889	NA	NA
Gene::100127971	NA	NA
Gene::100127983	NA	NA
Gene::100127991	NA	NA
Gene::100128001	NA	NA
Gene::100128071	NA	NA
Gene::100128088	NA	NA
Gene::100128107	NA	NA
Gene::100128108	NA	NA
Gene::100128124	NA	NA
Gene::100128160	NA	NA
Gene::100128170	NA	NA
Gene::100128184	NA	NA
Gene::100128198	NA	NA
Gene::100128265	NA	NA
Gene::100128274	NA	NA
Gene::100128320	NA	NA
Gene::100128327	772	NA
Gene::100128348	NA	NA
Gene::100128402	NA	NA
Gene::100128429	NA	NA
Gene::100128430	NA	NA
Gene::100128437	NA	NA
Gene::100128496	NA	NA
Gene::100128498	NA	NA
Gene::100128517	NA	NA
Gene::100128529	NA	NA
Gene::100128551	NA	NA
Gene::100128553	907	NA
Gene::100128569	NA	NA
Gene::100128571	NA	NA
Gene::100128591	NA	NA
Gene::100128651	NA	NA
Gene::100128668	NA	NA
Gene::100128691	NA	NA
Gene::100128697	NA	NA
Gene::100128731	445	NA
Gene::100128795	NA	NA
Gene::100128824	NA	NA
Gene::100128851	NA	NA
Gene::100128905	NA	NA
Gene::100128927	861	NA
Gene::100128927	28	26
Gene::100128950	NA	NA
Gene::100129042	NA	NA
Gene::100129069	NA	NA
Gene::100129083	NA	NA
Gene::100129094	NA	NA
Gene::100129098	NA	NA
Gene::100129112	NA	NA
Gene::100129115	NA	NA
Gene::100129125	NA	NA
Gene::100129126	NA	NA
Gene::100129128	NA	NA
Gene::100129171	NA	NA
Gene::100129216	NA	NA
Gene::100129239	NA	NA
Gene::100129240	NA	NA
Gene::100129271	NA	NA
Gene::100129275	NA	NA
Gene::100129278	780	NA
Gene::100129280	NA	NA
Gene::100129307	NA	NA
Gene::100129311	NA	NA
Gene::100129322	NA	NA
Gene::100129324	NA	NA
Gene::100129361	NA	NA
Gene::100129363	NA	NA
Gene::100129380	NA	NA
Gene::100129385	NA	NA
Gene::100129393	NA	NA
Gene::100129397	NA	NA
Gene::100129399	NA	NA
Gene::100129406	NA	NA
Gene::100129408	NA	NA
Gene::100129447	NA	NA
Gene::100129480	NA	NA
Gene::100129520	NA	NA
Gene::100129528	648	NA
Gene::100129543	28	26
Gene::100129543	3480	NA
Gene::100129572	NA	NA
Gene::100129583	NA	NA
Gene::100129654	420	NA
Gene::100129669	56	NA
Gene::100129697	NA	NA
Gene::100129721	NA	NA
Gene::100129763	NA	NA
Gene::100129775	NA	NA
Gene::100129785	NA	NA
Gene::100129792	NA	NA
Gene::100129840	NA	NA
Gene::100129842	28	26
Gene::100129842	3480	NA
Gene::100129846	NA	NA
Gene::100129852	NA	NA
Gene::100129884	NA	NA
Gene::100129924	NA	NA
Gene::100129940	NA	NA
Gene::100129969	NA	NA
Gene::100129974	NA	NA
Gene::10013	993	990
Gene::10013	694	NA
Gene::10013	58	26
Gene::100130051	NA	NA
Gene::100130057	NA	NA
Gene::100130078	NA	NA
Gene::100130086	2293	NA
Gene::100130097	622	NA
Gene::100130097	3418	NA
Gene::100130101	NA	NA
Gene::100130175	NA	NA
Gene::100130274	NA	NA
Gene::100130276	NA	NA
Gene::100130278	NA	NA
Gene::100130301	NA	NA
Gene::100130302	NA	NA
Gene::100130311	NA	NA
Gene::100130314	NA	NA
Gene::100130345	NA	NA
Gene::100130348	NA	NA
Gene::100130357	NA	NA
Gene::100130361	2293	NA
Gene::100130370	NA	NA
Gene::100130372	NA	NA
Gene::100130433	NA	NA
Gene::100130436	NA	NA
Gene::100130442	NA	NA
Gene::100130451	NA	NA
Gene::100130463	NA	NA
Gene::100130519	NA	NA
Gene::100130520	NA	NA
Gene::100130539	NA	NA
Gene::100130540	NA	NA
Gene::100130542	NA	NA
Gene::100130560	NA	NA
Gene::100130573	NA	NA
Gene::100130597	NA	NA
Gene::100130613	NA	NA
Gene::100130654	NA	NA
Gene::100130657	NA	NA
Gene::100130705	NA	NA
Gene::100130733	NA	NA
Gene::100130741	NA	NA
Gene::100130742	1691	1690
Gene::100130761	NA	NA
Gene::100130778	NA	NA
Gene::100130817	NA	NA
Gene::100130827	NA	NA
Gene::100130857	NA	NA
Gene::100130863	NA	NA
Gene::100130865	NA	NA
Gene::100130880	NA	NA
Gene::100130890	NA	NA
Gene::100130920	NA	NA
Gene::100130927	NA	NA
Gene::100130933	NA	NA
Gene::100130958	NA	NA
Gene::100130967	NA	NA
Gene::100130976	NA	NA
Gene::100130988	NA	NA
Gene::100131000	NA	NA
Gene::100131004	NA	NA
Gene::100131017	28	26
Gene::100131017	3480	NA
Gene::100131032	NA	NA
Gene::100131034	NA	NA
Gene::100131094	1987	788
Gene::100131099	NA	NA
Gene::100131101	NA	NA
Gene::100131107	NA	NA
Gene::100131129	NA	NA
Gene::100131137	NA	NA
Gene::100131150	NA	NA
Gene::100131170	NA	NA
Gene::100131187	NA	NA
Gene::100131190	NA	NA
Gene::100131195	NA	NA
Gene::100131211	NA	NA
Gene::100131242	NA	NA
Gene::100131244	403	NA
Gene::100131303	NA	NA
Gene::100131310	NA	NA
Gene::100131355	NA	NA
Gene::100131378	NA	NA
Gene::100131390	755	NA
Gene::100131390	28	26
Gene::100131439	590	589
Gene::100131539	NA	NA
Gene::100131581	NA	NA
Gene::100131599	NA	NA
Gene::100131608	NA	NA
Gene::100131654	NA	NA
Gene::100131719	NA	NA
Gene::100131755	409	1492
Gene::100131801	645	NA
Gene::100131820	NA	NA
Gene::100131821	NA	NA
Gene::100131822	NA	NA
Gene::100131827	28	26
Gene::100131827	3480	NA
Gene::100131829	NA	NA
Gene::100131840	NA	NA
Gene::100131860	NA	NA
Gene::100131864	NA	NA
Gene::100131878	NA	NA
Gene::100131894	NA	NA
Gene::100131897	NA	NA
Gene::100131902	619	NA
Gene::100131907	NA	NA
Gene::100131980	28	26
Gene::100131980	3480	NA
Gene::100132004	NA	NA
Gene::100132006	NA	NA
Gene::100132025	NA	NA
Gene::100132069	NA	NA
Gene::100132071	NA	NA
Gene::100132074	508	NA
Gene::100132146	NA	NA
Gene::100132154	NA	NA
Gene::100132197	NA	NA
Gene::100132247	NA	NA
Gene::100132257	NA	NA
Gene::100132285	620	594
Gene::100132285	471	NA
Gene::100132363	NA	NA
Gene::100132365	NA	NA
Gene::100132386	619	NA
Gene::100132396	28	26
Gene::100132396	3480	NA
Gene::100132399	1845	NA
Gene::100132399	2293	NA
Gene::100132403	1993	788
Gene::100132406	662	NA
Gene::100132418	NA	NA
Gene::100132439	1993	788
Gene::100132463	488	1471
Gene::100132474	NA	NA
Gene::100132476	619	NA
Gene::100132495	NA	NA
Gene::100132506	1993	788
Gene::100132612	NA	NA
Gene::100132731	NA	NA
Gene::100132800	NA	NA
Gene::100132874	NA	NA
Gene::100132911	NA	NA
Gene::100132916	NA	NA
Gene::100132932	1993	788
Gene::100132963	NA	NA
Gene::100132994	2293	NA
Gene::100133053	NA	NA
Gene::100133093	NA	NA
Gene::100133128	NA	NA
Gene::100133130	NA	NA
Gene::100133145	NA	NA
Gene::100133220	NA	NA
Gene::100133251	NA	NA
Gene::100133267	NA	NA
Gene::100133301	NA	NA
Gene::100133790	NA	NA
Gene::100133941	471	NA
Gene::100134240	NA	NA
Gene::100134301	NA	NA
Gene::100134391	NA	NA
Gene::100134444	276	183
Gene::100134444	276	178
Gene::100134934	1343	NA
Gene::100134938	NA	NA
Gene::100137047	1368	NA
Gene::100137049	467	NA
Gene::100137049	832	823
Gene::10014	992	990
Gene::100141515	NA	NA
Gene::100142659	907	NA
Gene::100144595	NA	NA
Gene::100144748	NA	NA
Gene::100144878	NA	NA
Gene::10015	NA	NA
Gene::10016	863	NA
Gene::100169851	674	NA
Gene::100169851	1226	NA
Gene::10017	1057	NA
Gene::100170229	NA	NA
Gene::100170765	NA	NA
Gene::100170841	NA	NA
Gene::100174949	NA	NA
Gene::10018	1277	1057
Gene::100187907	NA	NA
Gene::100188893	1229	NA
Gene::10019	741	NA
Gene::10019	682	NA
Gene::100190949	NA	NA
Gene::100191040	823	NA
Gene::100192455	NA	NA
Gene::1002	1185	18
Gene::10020	NA	NA
Gene::10021	250	178
Gene::10022	542	NA
Gene::10022	1897	3575
Gene::10023	NA	NA
Gene::10024	NA	NA
Gene::10025	1061	NA
Gene::10025	362	NA
Gene::10026	680	NA
Gene::10026	1951	NA
Gene::10026	3517	NA
Gene::100271715	722	1958
Gene::100271846	1412	2296
Gene::100271849	649	NA
Gene::100271849	1086	NA
Gene::100271927	830	823
Gene::100271927	682	NA
Gene::100272147	NA	NA
Gene::100286963	NA	NA
Gene::100287013	NA	NA
Gene::100287036	NA	NA
Gene::100287144	NA	NA
Gene::100287171	NA	NA
Gene::100287178	NA	NA
Gene::100287205	NA	NA
Gene::100287226	28	26
Gene::100287226	3480	NA
Gene::100287238	NA	NA
Gene::100287284	NA	NA
Gene::100287290	NA	NA
Gene::100287294	NA	NA
Gene::100287327	NA	NA
Gene::100287362	NA	NA
Gene::100287364	NA	NA
Gene::100287387	NA	NA
Gene::100287399	685	403
Gene::100287404	NA	NA
Gene::100287441	NA	NA
Gene::100287477	NA	NA
Gene::100287478	NA	NA
Gene::100287482	NA	NA
Gene::100287513	NA	NA
Gene::100287718	403	NA
Gene::100287798	1993	788
Gene::100287823	NA	NA
Gene::100287837	NA	NA
Gene::100287859	1993	788
Gene::100287898	769	NA
Gene::100287932	1552	NA
Gene::100287932	1835	1838
Gene::100287932	1857	NA
Gene::100287979	NA	NA
Gene::100288072	743	NA
Gene::100288142	662	NA
Gene::100288287	619	NA
Gene::100288315	NA	NA
Gene::100288323	619	NA
Gene::100288332	NA	NA
Gene::100288336	NA	NA
Gene::100288413	1412	2296
Gene::100288465	NA	NA
Gene::100288485	NA	NA
Gene::100288520	NA	NA
Gene::100288524	NA	NA
Gene::100288562	NA	NA
Gene::100288675	NA	NA
Gene::100288687	NA	NA
Gene::100288695	NA	NA
Gene::100288797	NA	NA
Gene::100288801	NA	NA
Gene::100288814	NA	NA
Gene::100288908	NA	NA
Gene::100288960	NA	NA
Gene::100288966	NA	NA
Gene::100289009	NA	NA
Gene::100289058	NA	NA
Gene::100289087	2303	2305
Gene::100289097	NA	NA
Gene::100289151	NA	NA
Gene::100289187	NA	NA
Gene::100289265	NA	NA
Gene::100289269	NA	NA
Gene::100289279	NA	NA
Gene::100289462	503	501
Gene::100289462	2293	NA
Gene::100289561	NA	NA
Gene::100289635	28	26
Gene::100289635	3480	NA
Gene::100289678	28	26
Gene::100289678	3480	NA
Gene::100291323	NA	NA
Gene::100293516	28	26
Gene::100293516	3480	NA
Gene::100293534	NA	NA
Gene::100293704	NA	NA
Gene::100294341	NA	NA
Gene::100294391	NA	NA
Gene::1003	1186	18
Gene::1003	471	NA
Gene::100302652	1691	1690
Gene::100302736	NA	NA
Gene::100303755	645	NA
Gene::100310812	756	NA
Gene::100310846	403	NA
Gene::100316904	NA	NA
Gene::100329135	NA	NA
Gene::10036	NA	NA
Gene::10038	684	NA
Gene::100381270	64	26
Gene::100381270	64	1415
Gene::10039	684	NA
Gene::1004	1186	18
Gene::10040	NA	NA
Gene::10042	512	510
Gene::100423062	591	589
Gene::10043	1691	1690
Gene::100431172	621	NA
Gene::100431172	1298	NA
Gene::10044	741	NA
Gene::10044	1562	NA
Gene::10045	741	NA
Gene::10045	1562	NA
Gene::10046	NA	NA
Gene::100462977	NA	NA
Gene::100462981	NA	NA
Gene::100462983	NA	NA
Gene::100463285	NA	NA
Gene::100463289	NA	NA
Gene::100463482	NA	NA
Gene::100463486	1691	1690
Gene::100463487	NA	NA
Gene::100463488	NA	NA
Gene::10047	965	964
Gene::10048	1561	NA
Gene::10049	584	582
Gene::100499483	1491	NA
Gene::1005	1186	18
Gene::10050	2169	752
Gene::100500938	NA	NA
Gene::100505385	NA	NA
Gene::100505478	NA	NA
Gene::100505502	NA	NA
Gene::100505549	NA	NA
Gene::100505555	NA	NA
Gene::100505570	NA	NA
Gene::100505573	NA	NA
Gene::100505591	NA	NA
Gene::100505679	NA	NA
Gene::100505724	619	NA
Gene::100505741	NA	NA
Gene::100505753	619	NA
Gene::100505767	756	NA
Gene::100505797	NA	NA
Gene::100505841	NA	NA
Gene::100505877	NA	NA
Gene::100505993	NA	NA
Gene::100506012	NA	NA
Gene::100506013	542	NA
Gene::100506049	1491	NA
Gene::100506084	357	358
Gene::100506084	2293	NA
Gene::100506115	NA	NA
Gene::100506127	NA	NA
Gene::100506144	NA	NA
Gene::100506164	2293	NA
Gene::100506217	NA	NA
Gene::100506242	NA	NA
Gene::100506243	NA	NA
Gene::100506248	NA	NA
Gene::100506374	NA	NA
Gene::100506388	NA	NA
Gene::100506422	NA	NA
Gene::100506504	NA	NA
Gene::100506514	NA	NA
Gene::100506562	NA	NA
Gene::100506564	NA	NA
Gene::100506571	NA	NA
Gene::100506581	NA	NA
Gene::100506627	NA	NA
Gene::100506650	NA	NA
Gene::100506658	694	NA
Gene::100506658	1471	NA
Gene::100506658	1626	NA
Gene::100506667	NA	NA
Gene::100506718	NA	NA
Gene::100506736	1110	NA
Gene::100506742	468	NA
Gene::100506742	959	NA
Gene::100506888	NA	NA
Gene::100506922	NA	NA
Gene::100506944	NA	NA
Gene::100507003	NA	NA
Gene::100507027	2300	NA
Gene::100507050	NA	NA
Gene::100507055	NA	NA
Gene::100507096	NA	NA
Gene::100507170	2293	NA
Gene::100507170	1850	NA
Gene::100507203	NA	NA
Gene::100507221	NA	NA
Gene::100507249	NA	NA
Gene::100507290	28	26
Gene::100507341	NA	NA
Gene::100507421	NA	NA
Gene::100507436	591	589
Gene::100507462	NA	NA
Gene::100507483	NA	NA
Gene::100507494	NA	NA
Gene::100507507	NA	NA
Gene::100507527	NA	NA
Gene::100507588	NA	NA
Gene::100507607	NA	NA
Gene::100507608	619	NA
Gene::100507650	58	26
Gene::100507679	648	NA
Gene::100507703	NA	NA
Gene::100507747	NA	NA
Gene::100508689	NA	NA
Gene::100509072	NA	NA
Gene::100509091	NA	NA
Gene::100509620	NA	NA
Gene::10051	761	NA
Gene::10051	1452	1454
Gene::10051	1453	1454
Gene::10051	1691	1690
Gene::100510707	NA	NA
Gene::10052	314	292
Gene::10052	314	1471
Gene::100526664	NA	NA
Gene::100526693	NA	NA
Gene::100526694	NA	NA
Gene::100526737	NA	NA
Gene::100526739	NA	NA
Gene::100526740	NA	NA
Gene::100526761	NA	NA
Gene::100526767	NA	NA
Gene::100526772	NA	NA
Gene::100526773	NA	NA
Gene::100526783	NA	NA
Gene::100526794	NA	NA
Gene::100526832	NA	NA
Gene::100526835	403	NA
Gene::100526842	NA	NA
Gene::100527943	NA	NA
Gene::100527949	NA	NA
Gene::100527963	NA	NA
Gene::100527978	NA	NA
Gene::100528017	NA	NA
Gene::100528020	590	589
Gene::100528021	NA	NA
Gene::100528030	NA	NA
Gene::100528032	NA	NA
Gene::100528062	NA	NA
Gene::100528064	NA	NA
Gene::100529063	NA	NA
Gene::100529097	NA	NA
Gene::100529141	NA	NA
Gene::100529144	NA	NA
Gene::100529215	NA	NA
Gene::100529239	NA	NA
Gene::100529240	NA	NA
Gene::100529241	NA	NA
Gene::100529251	NA	NA
Gene::100529257	NA	NA
Gene::100529261	NA	NA
Gene::10053	1671	1670
Gene::100532726	NA	NA
Gene::100532727	NA	NA
Gene::100532731	NA	NA
Gene::100532736	NA	NA
Gene::100533105	NA	NA
Gene::100533106	NA	NA
Gene::100533177	619	NA
Gene::100533178	1992	788
Gene::100533181	NA	NA
Gene::100533183	NA	NA
Gene::100533467	NA	NA
Gene::100533496	NA	NA
Gene::100533952	NA	NA
Gene::100533997	NA	NA
Gene::100534012	NA	NA
Gene::100534592	NA	NA
Gene::100534599	NA	NA
Gene::10054	100	NA
Gene::10055	100	NA
Gene::10056	132	130
Gene::10057	807	417
Gene::10058	806	417
Gene::10058	454	NA
Gene::10059	3567	3565
Gene::1006	1186	18
Gene::10060	807	417
Gene::10061	810	417
Gene::10062	2083	71
Gene::10063	645	NA
Gene::100631383	NA	NA
Gene::100652748	1552	NA
Gene::100652748	1835	1838
Gene::100652758	NA	NA
Gene::100652775	NA	NA
Gene::100652777	NA	NA
Gene::100652807	NA	NA
Gene::100652824	NA	NA
Gene::100652833	NA	NA
Gene::100652871	NA	NA
Gene::100652894	NA	NA
Gene::100652901	NA	NA
Gene::100653049	NA	NA
Gene::100653061	NA	NA
Gene::100653133	NA	NA
Gene::100653515	NA	NA
Gene::10066	735	1474
Gene::10067	735	1474
Gene::10068	594	589
Gene::10069	NA	NA
Gene::1007	1186	18
Gene::10071	648	NA
Gene::10072	2106	2104
Gene::10073	NA	NA
Gene::10075	1492	NA
Gene::10075	1959	NA
Gene::10075	1691	1690
Gene::10076	813	705
Gene::10076	555	NA
Gene::10077	768	NA
Gene::10078	1503	1506
Gene::10078	1503	1520
Gene::10079	1210	414
Gene::1008	1186	18
Gene::10081	1521	1520
Gene::10081	2045	NA
Gene::10082	572	570
Gene::100820829	NA	NA
Gene::10083	1220	NA
Gene::10084	1507	1518
Gene::10085	NA	NA
Gene::10086	NA	NA
Gene::100861412	NA	NA
Gene::100861437	NA	NA
Gene::100861519	1987	788
Gene::100861540	NA	NA
Gene::100862671	NA	NA
Gene::100862847	NA	NA
Gene::10087	NA	NA
Gene::100873985	NA	NA
Gene::100885848	NA	NA
Gene::100885850	NA	NA
Gene::100887824	NA	NA
Gene::10089	277	178
Gene::10089	277	183
Gene::1009	1186	18
Gene::10090	763	821
Gene::100913187	406	NA
Gene::10092	39	NA
Gene::10093	39	NA
Gene::10094	39	NA
Gene::10095	39	NA
Gene::10095	362	NA
Gene::10096	39	NA
Gene::10096	1436	NA
Gene::10097	39	NA
Gene::10097	1436	NA
Gene::10098	768	NA
Gene::10099	768	NA
Gene::100996273	NA	NA
Gene::100996274	NA	NA
Gene::100996318	NA	NA
Gene::100996331	685	403
Gene::100996335	NA	NA
